Afinidade,32_threads,64_threads,128_threads,Speedup
false,0.24,0.40,0.70,0.34
true,0.19,0.35,0.93,0.26
close,0.20,0.38,0.98,0.24
spread,0.18,0.35,0.69,0.35
master,0.20,0.36,0.70,0.34
