M,N,Processos,Tempo,Speedup,Eficiência
500,500,1,0.000983,1.00,100.0
500,500,2,0.000491,2.00,100.0
500,500,4,0.000246,4.00,100.0
1000,1000,1,0.003930,1.00,100.0
1000,1000,2,0.001965,2.00,100.0
1000,1000,4,0.000984,3.99,99.8
1000,1000,8,0.000510,7.71,96.3
2000,2000,1,0.015719,1.00,100.0
2000,2000,2,0.007870,2.00,99.9
2000,2000,4,0.003928,4.00,100.0
2000,2000,8,0.002047,7.68,96.0
