Afinidade,32_threads,64_threads,128_threads,Speedup
false,31.33,31.22,38.18,0.82
true,31.31,31.25,38.28,0.82
close,31.25,31.25,38.34,0.82
spread,31.21,31.20,38.34,0.82
master,31.28,31.20,38.28,0.82
