Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
0,1.00000,0.034676,0.045076,0.036974,0.033387,0.031474,0.033656,0.033304,0.031269,0.034108,0.032964,0.031206,0.034106,0.032845,0.031457,0.033584
1,0.99999,0.031257,0.031209,0.038506,0.031113,0.031240,0.038390,0.031124,0.031299,0.038414,0.030938,0.031206,0.038747,0.030926,0.031231,0.038688
2,0.99998,0.031141,0.031128,0.032389,0.031061,0.031215,0.038474,0.031067,0.031188,0.038693,0.030784,0.031222,0.038507,0.030794,0.031262,0.038444
3,0.99996,0.031133,0.031217,0.038758,0.031070,0.031206,0.038709,0.031178,0.031250,0.038527,0.030858,0.031269,0.038463,0.030867,0.031193,0.038722
4,0.99994,0.031193,0.031144,0.038495,0.031047,0.031228,0.038421,0.031191,0.031261,0.038534,0.030795,0.031242,0.038763,0.030824,0.031165,0.038432
5,0.99991,0.031287,0.031150,0.038502,0.031049,0.031213,0.038452,0.031214,0.031263,0.038756,0.030875,0.031251,0.038515,0.030848,0.031187,0.038455
6,0.99988,0.031289,0.031148,0.032247,0.031045,0.031252,0.038720,0.031214,0.031284,0.038497,0.030801,0.031234,0.038522,0.031187,0.031155,0.038670
7,0.99983,0.031238,0.031144,0.038439,0.030916,0.031217,0.038594,0.031209,0.031297,0.038528,0.030838,0.031258,0.038717,0.030854,0.031202,0.038541
8,0.99979,0.031232,0.031128,0.038441,0.030895,0.031262,0.038521,0.031213,0.031261,0.038713,0.030781,0.031243,0.038467,0.030771,0.031178,0.038535
9,0.99973,0.031252,0.031193,0.038656,0.031369,0.031232,0.038737,0.031216,0.031290,0.038793,0.030865,0.031263,0.038518,0.030858,0.031192,0.038736
10,0.99967,0.031258,0.031145,0.032462,0.030988,0.031316,0.038513,0.031189,0.031310,0.038755,0.030772,0.031204,0.038715,0.030837,0.031213,0.038513
11,0.99961,0.031239,0.031216,0.032000,0.031117,0.031295,0.038507,0.031203,0.031285,0.038801,0.030865,0.031214,0.038528,0.030976,0.031253,0.032908
12,0.99954,0.031239,0.031125,0.038726,0.031171,0.031311,0.038638,0.031201,0.031300,0.038481,0.030789,0.031208,0.038463,0.030921,0.031200,0.038749
13,0.99946,0.031249,0.031183,0.038414,0.031242,0.031251,0.038495,0.031161,0.031249,0.038611,0.030822,0.031254,0.038741,0.030972,0.031287,0.038464
14,0.99938,0.031222,0.031157,0.038620,0.031214,0.031298,0.038495,0.031195,0.031303,0.038790,0.030784,0.031266,0.038443,0.030958,0.031266,0.038677
15,0.99930,0.031243,0.031138,0.038702,0.031226,0.031267,0.038701,0.031234,0.031218,0.038457,0.031281,0.031270,0.038494,0.030951,0.031222,0.038769
16,0.99920,0.031312,0.031182,0.038419,0.031195,0.031248,0.038489,0.031150,0.031230,0.038718,0.030770,0.031202,0.038649,0.030866,0.031257,0.038457
17,0.99911,0.031362,0.031163,0.038445,0.031195,0.031313,0.038512,0.031086,0.031215,0.038753,0.030835,0.031320,0.038504,0.030994,0.031269,0.038426
18,0.99900,0.031352,0.031173,0.038659,0.031191,0.031277,0.038717,0.031046,0.031275,0.038564,0.031207,0.031195,0.038406,0.031041,0.031246,0.038751
19,0.99889,0.031343,0.031207,0.032015,0.031204,0.031211,0.038521,0.031073,0.031210,0.038681,0.030813,0.031202,0.038737,0.031095,0.031283,0.038458
20,0.99878,0.031320,0.031172,0.038424,0.031185,0.031276,0.033463,0.031057,0.031261,0.038771,0.030737,0.031260,0.036377,0.031030,0.031243,0.038496
21,0.99866,0.031336,0.031193,0.038655,0.031216,0.031270,0.038751,0.031108,0.031255,0.038623,0.030861,0.031174,0.038537,0.031094,0.031271,0.038774
22,0.99853,0.031324,0.031162,0.038442,0.031172,0.031252,0.038524,0.031067,0.031303,0.038606,0.030716,0.031231,0.038671,0.031045,0.031264,0.038504
23,0.99840,0.031253,0.031199,0.038476,0.031212,0.031159,0.038572,0.031087,0.031251,0.032527,0.030786,0.031235,0.038537,0.031064,0.031247,0.032479
24,0.99827,0.031255,0.031126,0.038718,0.031191,0.031335,0.038754,0.031061,0.031280,0.038479,0.030741,0.031180,0.038456,0.031026,0.031268,0.038841
25,0.99813,0.031268,0.031192,0.038531,0.031222,0.031247,0.038558,0.031086,0.031323,0.038488,0.030850,0.031221,0.038711,0.031067,0.031237,0.038543
26,0.99798,0.031217,0.031217,0.038656,0.031189,0.031266,0.038561,0.031088,0.031282,0.038817,0.030773,0.031182,0.038503,0.031045,0.031135,0.038467
27,0.99783,0.031322,0.031177,0.038783,0.031168,0.031205,0.038634,0.031106,0.031292,0.038544,0.031234,0.031177,0.038486,0.031087,0.031199,0.038735
28,0.99767,0.031366,0.031226,0.038502,0.031199,0.031313,0.038369,0.031066,0.031256,0.038433,0.030775,0.031165,0.038694,0.031043,0.031182,0.038500
29,0.99751,0.031359,0.031145,0.038605,0.031216,0.031287,0.038448,0.031109,0.031256,0.038740,0.030894,0.031156,0.038461,0.031095,0.031186,0.038462
30,0.99734,0.031335,0.031222,0.038736,0.031199,0.031221,0.038678,0.031069,0.031271,0.038434,0.031072,0.031182,0.038512,0.031031,0.031203,0.038756
31,0.99717,0.031305,0.031150,0.038611,0.031235,0.031249,0.038474,0.031060,0.031245,0.038548,0.031096,0.031218,0.032429,0.031072,0.031198,0.038455
32,0.99699,0.037598,0.031190,0.038639,0.031164,0.031196,0.033675,0.031017,0.031232,0.038751,0.031080,0.031278,0.038483,0.031011,0.031173,0.038514
33,0.99681,0.031745,0.031161,0.038750,0.031225,0.031224,0.038668,0.031211,0.031187,0.038528,0.031094,0.031296,0.038469,0.031058,0.031176,0.038818
34,0.99662,0.031382,0.031137,0.038380,0.031176,0.031298,0.038506,0.031191,0.031277,0.038525,0.031072,0.031209,0.038805,0.031027,0.031138,0.038413
35,0.99643,0.031210,0.031122,0.038485,0.031219,0.031270,0.038459,0.031206,0.031225,0.038653,0.031102,0.031203,0.039324,0.031091,0.031156,0.038388
36,0.99623,0.031247,0.031244,0.038720,0.031215,0.031249,0.038695,0.031181,0.031304,0.038460,0.031037,0.031183,0.038610,0.031012,0.031244,0.038813
37,0.99603,0.031234,0.031176,0.038454,0.031252,0.031224,0.038472,0.031188,0.031276,0.038405,0.031075,0.031249,0.038748,0.031079,0.031232,0.038485
38,0.99582,0.031256,0.031108,0.038548,0.031201,0.031268,0.038458,0.031202,0.031282,0.038710,0.031063,0.031147,0.038438,0.031041,0.031197,0.038595
39,0.99561,0.031220,0.031207,0.038651,0.031202,0.031270,0.038741,0.031217,0.031266,0.038529,0.031069,0.031221,0.038451,0.031070,0.031259,0.038494
40,0.99539,0.031258,0.031259,0.038469,0.031183,0.031234,0.038620,0.031212,0.031309,0.038541,0.031039,0.031191,0.038758,0.031043,0.031184,0.032715
41,0.99517,0.031246,0.031206,0.038485,0.031234,0.031240,0.038443,0.031258,0.031319,0.038815,0.031081,0.031176,0.038483,0.031076,0.031191,0.038759
42,0.99494,0.031235,0.031275,0.038703,0.031152,0.031244,0.038706,0.031183,0.031310,0.038535,0.031013,0.031135,0.038508,0.031024,0.031206,0.038454
43,0.99471,0.031200,0.031189,0.038465,0.031217,0.031181,0.038453,0.031240,0.031229,0.038481,0.031077,0.031167,0.038749,0.031089,0.031210,0.032784
44,0.99448,0.031111,0.031209,0.038506,0.031193,0.031275,0.038425,0.031239,0.031286,0.032581,0.031032,0.031166,0.038483,0.031035,0.031197,0.038688
45,0.99424,0.031147,0.031167,0.038729,0.031197,0.031230,0.038768,0.031209,0.031283,0.038492,0.031077,0.031134,0.038475,0.031098,0.031248,0.038457
46,0.99399,0.031142,0.031190,0.038436,0.031162,0.031257,0.038455,0.031225,0.031313,0.038468,0.031052,0.031248,0.038748,0.031030,0.031242,0.038399
47,0.99374,0.031145,0.031169,0.038489,0.031205,0.031187,0.035130,0.031215,0.031267,0.038818,0.031066,0.031178,0.038431,0.031112,0.031225,0.038812
48,0.99348,0.031232,0.031110,0.038710,0.031201,0.031225,0.038723,0.031188,0.031203,0.038469,0.031047,0.031185,0.038502,0.031038,0.031251,0.038400
49,0.99322,0.031244,0.031170,0.038454,0.031206,0.031222,0.038498,0.031291,0.031220,0.038465,0.031079,0.031218,0.038869,0.031062,0.031270,0.038434
50,0.99296,0.031287,0.031148,0.038422,0.031214,0.031161,0.038471,0.031201,0.031349,0.038729,0.031035,0.031201,0.038669,0.031022,0.031198,0.038613
51,0.99269,0.031249,0.031147,0.038677,0.031253,0.031191,0.038732,0.031219,0.031239,0.038416,0.031121,0.031141,0.038520,0.031084,0.031235,0.038505
52,0.99242,0.031253,0.031152,0.038487,0.031191,0.031214,0.038416,0.031197,0.031253,0.038468,0.031066,0.031199,0.038966,0.031056,0.031246,0.038400
53,0.99214,0.031219,0.031137,0.038451,0.031207,0.031206,0.038396,0.031238,0.031282,0.038687,0.031115,0.031213,0.038606,0.031118,0.031269,0.038578
54,0.99186,0.031278,0.031196,0.038662,0.031172,0.031226,0.038712,0.031197,0.031231,0.038447,0.031064,0.031229,0.038613,0.031058,0.031263,0.038406
55,0.99157,0.031238,0.031154,0.038484,0.031194,0.031191,0.038480,0.031219,0.031254,0.038491,0.031090,0.031212,0.038782,0.031498,0.031179,0.038415
56,0.99128,0.031228,0.031201,0.032596,0.031153,0.031231,0.038476,0.031182,0.031184,0.038747,0.031070,0.031214,0.038622,0.031049,0.031170,0.038802
57,0.99098,0.031228,0.031170,0.038704,0.031226,0.031169,0.038708,0.031079,0.031213,0.038530,0.031519,0.031193,0.038663,0.031077,0.031210,0.032093
58,0.99068,0.031245,0.031165,0.038551,0.031198,0.031206,0.038518,0.031052,0.031265,0.038472,0.031072,0.031207,0.038742,0.031037,0.031221,0.038418
59,0.99038,0.031197,0.031261,0.038421,0.031279,0.031262,0.038570,0.031104,0.031194,0.038732,0.031129,0.031198,0.038606,0.031099,0.031226,0.038875
60,0.99007,0.031223,0.031192,0.038649,0.031344,0.031285,0.038735,0.031121,0.031185,0.038492,0.031056,0.031217,0.038496,0.031025,0.031283,0.038417
61,0.98975,0.031197,0.031170,0.038426,0.031357,0.031243,0.038382,0.031218,0.031246,0.038425,0.031069,0.031267,0.038879,0.031087,0.031197,0.038481
62,0.98944,0.031251,0.031217,0.038369,0.031329,0.031248,0.038562,0.031206,0.031205,0.038674,0.031040,0.031190,0.038700,0.031056,0.031261,0.038601
63,0.98912,0.031235,0.031154,0.038713,0.031329,0.031230,0.038782,0.031201,0.031277,0.038468,0.031078,0.031191,0.038493,0.031077,0.031251,0.038416
64,0.98879,0.031351,0.031229,0.038526,0.031301,0.031241,0.038553,0.031348,0.031262,0.038504,0.031068,0.031170,0.038749,0.031040,0.031282,0.034793
65,0.98846,0.031324,0.031185,0.038489,0.031324,0.031249,0.038527,0.031345,0.031282,0.038728,0.031081,0.031165,0.032554,0.031143,0.031256,0.038679
66,0.98812,0.031349,0.031190,0.038686,0.031315,0.031247,0.038701,0.031329,0.031247,0.038517,0.031492,0.031176,0.038534,0.031032,0.031220,0.038491
67,0.98779,0.031343,0.031141,0.038515,0.031333,0.031275,0.038544,0.031371,0.031211,0.038483,0.031093,0.031145,0.038750,0.031103,0.031154,0.038490
68,0.98744,0.031346,0.031221,0.038489,0.031342,0.031206,0.038624,0.031310,0.031215,0.038672,0.031053,0.031133,0.038577,0.031060,0.031171,0.038639
69,0.98710,0.031331,0.031238,0.038769,0.031350,0.031245,0.039009,0.031346,0.031234,0.038453,0.031096,0.031150,0.038546,0.031074,0.031221,0.038507
70,0.98674,0.031353,0.031200,0.038465,0.031338,0.031217,0.038695,0.031321,0.031273,0.038470,0.031085,0.031144,0.038628,0.031029,0.031284,0.038440
71,0.98639,0.031333,0.031240,0.038488,0.031385,0.031169,0.038523,0.031335,0.031205,0.038798,0.031129,0.031115,0.032964,0.031054,0.031295,0.038626
72,0.98603,0.031336,0.031185,0.038763,0.031314,0.031207,0.038787,0.031313,0.031190,0.038487,0.031048,0.031163,0.038568,0.031044,0.031209,0.038437
73,0.98567,0.031334,0.031137,0.038571,0.031362,0.031202,0.038590,0.031315,0.031223,0.038444,0.031109,0.031185,0.038759,0.031093,0.031272,0.038410
