clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo   80 | Valor central: 95.27335966 | Tempo: 0.001333 s
[CUDA] Passo   81 | Valor central: 95.21665893 | Tempo: 0.001319 s
[CUDA] Passo   82 | Valor central: 95.15999767 | Tempo: 0.001328 s
[CUDA] Passo   83 | Valor central: 95.10337583 | Tempo: 0.001317 s
[CUDA] Passo   84 | Valor central: 95.04679340 | Tempo: 0.001333 s
[CUDA] Passo   85 | Valor central: 94.99025033 | Tempo: 0.001315 s
[CUDA] Passo   86 | Valor central: 94.93374661 | Tempo: 0.001332 s
[CUDA] Passo   87 | Valor central: 94.87728219 | Tempo: 0.001322 s
[CUDA] Passo   88 | Valor central: 94.82085705 | Tempo: 0.001330 s
[CUDA] Passo   89 | Valor central: 94.76447116 | Tempo: 0.001319 s
[CUDA] Passo   90 | Valor central: 94.70812449 | Tempo: 0.001341 s
[CUDA] Passo   91 | Valor central: 94.65181701 | Tempo: 0.001318 s
[CUDA] Passo   92 | Valor central: 94.59554869 | Tempo: 0.001337 s
[CUDA] Passo   93 | Valor central: 94.53931949 | Tempo: 0.001318 s
[CUDA] Passo   94 | Valor central: 94.48312940 | Tempo: 0.001334 s
[CUDA] Passo   95 | Valor central: 94.42697837 | Tempo: 0.001318 s
[CUDA] Passo   96 | Valor central: 94.37086638 | Tempo: 0.001339 s
[CUDA] Passo   97 | Valor central: 94.31479340 | Tempo: 0.001324 s
[CUDA] Passo   98 | Valor central: 94.25875940 | Tempo: 0.001327 s
[CUDA] Passo   99 | Valor central: 94.20276435 | Tempo: 0.001317 s
[CUDA] Passo  100 | Valor central: 94.14680821 | Tempo: 0.001338 s
[CUDA] Passo  101 | Valor central: 94.09089097 | Tempo: 0.001319 s
[CUDA] Passo  102 | Valor central: 94.03501258 | Tempo: 0.001332 s
[CUDA] Passo  103 | Valor central: 93.97917303 | Tempo: 0.001316 s
[CUDA] Passo  104 | Valor central: 93.92337227 | Tempo: 0.001335 s
[CUDA] Passo  105 | Valor central: 93.86761029 | Tempo: 0.001314 s
[CUDA] Passo  106 | Valor central: 93.81188704 | Tempo: 0.001334 s
[CUDA] Passo  107 | Valor central: 93.75620250 | Tempo: 0.001312 s
[CUDA] Passo  108 | Valor central: 93.70055665 | Tempo: 0.001333 s
[CUDA] Passo  109 | Valor central: 93.64494945 | Tempo: 0.001316 s
[CUDA] Passo  110 | Valor central: 93.58938086 | Tempo: 0.001333 s
[CUDA] Passo  111 | Valor central: 93.53385087 | Tempo: 0.001315 s
[CUDA] Passo  112 | Valor central: 93.47835944 | Tempo: 0.001333 s
[CUDA] Passo  113 | Valor central: 93.42290655 | Tempo: 0.001318 s
[CUDA] Passo  114 | Valor central: 93.36749216 | Tempo: 0.001335 s
[CUDA] Passo  115 | Valor central: 93.31211624 | Tempo: 0.001316 s
[CUDA] Passo  116 | Valor central: 93.25677876 | Tempo: 0.001330 s
[CUDA] Passo  117 | Valor central: 93.20147970 | Tempo: 0.001316 s
[CUDA] Passo  118 | Valor central: 93.14621903 | Tempo: 0.001333 s
[CUDA] Passo  119 | Valor central: 93.09099671 | Tempo: 0.001316 s
[CUDA] Passo  120 | Valor central: 93.03581272 | Tempo: 0.001330 s
[CUDA] Passo  121 | Valor central: 92.98066702 | Tempo: 0.001314 s
[CUDA] Passo  122 | Valor central: 92.92555959 | Tempo: 0.001334 s
[CUDA] Passo  123 | Valor central: 92.87049040 | Tempo: 0.001321 s
[CUDA] Passo  124 | Valor central: 92.81545942 | Tempo: 0.001335 s
[CUDA] Passo  125 | Valor central: 92.76046662 | Tempo: 0.001317 s
[CUDA] Passo  126 | Valor central: 92.70551198 | Tempo: 0.001328 s
[CUDA] Passo  127 | Valor central: 92.65059545 | Tempo: 0.001313 s
[CUDA] Passo  128 | Valor central: 92.59571701 | Tempo: 0.001328 s
[CUDA] Passo  129 | Valor central: 92.54087664 | Tempo: 0.001323 s
[CUDA] Passo  130 | Valor central: 92.48607430 | Tempo: 0.001334 s
[CUDA] Passo  131 | Valor central: 92.43130996 | Tempo: 0.001317 s
[CUDA] Passo  132 | Valor central: 92.37658361 | Tempo: 0.001336 s
[CUDA] Passo  133 | Valor central: 92.32189519 | Tempo: 0.001322 s
[CUDA] Passo  134 | Valor central: 92.26724470 | Tempo: 0.001331 s
[CUDA] Passo  135 | Valor central: 92.21263209 | Tempo: 0.001321 s
[CUDA] Passo  136 | Valor central: 92.15805735 | Tempo: 0.001334 s
[CUDA] Passo  137 | Valor central: 92.10352043 | Tempo: 0.001320 s
[CUDA] Passo  138 | Valor central: 92.04902132 | Tempo: 0.001333 s
[CUDA] Passo  139 | Valor central: 91.99455997 | Tempo: 0.001316 s
[CUDA] Passo  140 | Valor central: 91.94013637 | Tempo: 0.001337 s
[CUDA] Passo  141 | Valor central: 91.88575049 | Tempo: 0.001319 s
[CUDA] Passo  142 | Valor central: 91.83140229 | Tempo: 0.001334 s
[CUDA] Passo  143 | Valor central: 91.77709175 | Tempo: 0.001317 s
[CUDA] Passo  144 | Valor central: 91.72281884 | Tempo: 0.001337 s
[CUDA] Passo  145 | Valor central: 91.66858353 | Tempo: 0.001326 s
[CUDA] Passo  146 | Valor central: 91.61438579 | Tempo: 0.001343 s
[CUDA] Passo  147 | Valor central: 91.56022559 | Tempo: 0.001310 s
[CUDA] Passo  148 | Valor central: 91.50610290 | Tempo: 0.001331 s
[CUDA] Passo  149 | Valor central: 91.45201770 | Tempo: 0.001319 s
[CUDA] Passo  150 | Valor central: 91.39796995 | Tempo: 0.001339 s
[CUDA] Passo  151 | Valor central: 91.34395963 | Tempo: 0.001319 s
[CUDA] Passo  152 | Valor central: 91.28998671 | Tempo: 0.001339 s
[CUDA] Passo  153 | Valor central: 91.23605116 | Tempo: 0.001317 s
[CUDA] Passo  154 | Valor central: 91.18215295 | Tempo: 0.001334 s
[CUDA] Passo  155 | Valor central: 91.12829205 | Tempo: 0.001315 s
